Indicator,Value ,Year
,Emissions: Sum (tons of CO2eq),119286929.3,2002
,Natural gas (TJ),49082.88,2003
,Diesel oil (TJ),1018581.984,2003
,Biodiesel (TJ),0,2003
,Gasoline (TJ),550814.88,2003
,Anhydrous ethanol (TJ),162759.996,2003
,Hydrated ethanol (TJ),80584.182,2003
,Energy Consumption: Sum (TJ),1861823.922,2003
,Emissions:Natural Gas (tons of CO2eq),2894024.771,2003
,Emissions: Diesel oil (tons of CO2eq),76791812.5,2003
,Emissions: Gasoline (tons of CO2eq),39826669.9,2003
,Emissions: Sum (tons of CO2eq),119512507.2,2003
,Natural gas (TJ),58396.8,2004
,Diesel oil (TJ),1089422.208,2004
,Biodiesel (TJ),0,2004
,Gasoline (TJ),569539.74,2004
,Anhydrous ethanol (TJ),167111.028,2004
,Hydrated ethanol (TJ),103565.7,2004
,Energy Consumption: Sum (TJ),1988035.476,2004
,Emissions:Natural Gas (tons of CO2eq),3443192.122,2004
,Emissions: Diesel oil (tons of CO2eq),82132520.74,2004
,Emissions: Gasoline (tons of CO2eq),41180570.9,2004
,Emissions: Sum (tons of CO2eq),126756283.8,2004
,Natural gas (TJ),71873.83484,2005
,Diesel oil (TJ),1083731.162,2005
,Biodiesel (TJ),18.12447672,2005
,Gasoline (TJ),571006.2935,2005
,Anhydrous ethanol (TJ),171297.8646,2005
,Hydrated ethanol (TJ),121157.9674,2005
,Energy Consumption: Sum (TJ),2019085.247,2005
,Emissions:Natural Gas (tons of CO2eq),4237825.05,2005
,Emissions: Diesel oil (tons of CO2eq),81703467.65,2005
,Emissions: Gasoline (tons of CO2eq),41286610.05,2005
,Emissions: Sum (tons of CO2eq),127227902.7,2005
,Natural gas (TJ),85251.936,2006
,Diesel oil (TJ),1098580.471,2006
,Biodiesel (TJ),1776.996305,2006
,Gasoline (TJ),606472.02,2006
,Anhydrous ethanol (TJ),116627.4391,2006
,Hydrated ethanol (TJ),151967.3173,2006
,Energy Consumption: Sum (TJ),2060676.179,2006
,Emissions:Natural Gas (tons of CO2eq),5026624.65,2006
,Emissions: Diesel oil (tons of CO2eq),82822970.4,2006
,Emissions: Gasoline (tons of CO2eq),43850959.41,2006
,Emissions: Sum (tons of CO2eq),131700554.5,2006
,Natural gas (TJ),94580.64,2007
,Diesel oil (TJ),1154014.498,2007
,Biodiesel (TJ),10392.5026,2007
,Gasoline (TJ),600036.36,2007
,Anhydrous ethanol (TJ),139659.6046,2007
,Hydrated ethanol (TJ),222039.6986,2007
,Energy Consumption: Sum (TJ),2220723.304,2007
,Emissions:Natural Gas (tons of CO2eq),5576663.696,2007
,Emissions: Diesel oil (tons of CO2eq),87002191.63,2007
,Emissions: Gasoline (tons of CO2eq),43385629.01,2007
,Emissions: Sum (tons of CO2eq),135964484.3,2008
,Natural gas (TJ),90649.69973,2008
,Diesel oil (TJ),1214427.399,2008
,Biodiesel (TJ),29245.56453,2008
,Gasoline (TJ),610614.774,2008
,Anhydrous ethanol (TJ),148381.4052,2008
,Hydrated ethanol (TJ),314160.714,2008
,Energy Consumption: Sum (TJ),2407479.557,2008
,Emissions:Natural Gas (tons of CO2eq),5344887.595,2008
,Emissions: Diesel oil (tons of CO2eq),91556774.62,2008
,Emissions: Gasoline (tons of CO2eq),44150501.23,2008
,Emissions: Sum (tons of CO2eq),141052163.5,2008
,Natural gas (TJ),77839.608,2009
,Diesel oil (TJ),1188881.836,2009
,Biodiesel (TJ),41469.40788,2009
,Gasoline (TJ),616303.38,2009
,Anhydrous ethanol (TJ),142468.7662,2009
,Hydrated ethanol (TJ),352807.7099,2009
,Energy Consumption: Sum (TJ),2419770.707,2009
,Emissions:Natural Gas (tons of CO2eq),4589578.967,2009
,Emissions: Diesel oil (tons of CO2eq),89630871.58,2009
,Emissions: Gasoline (tons of CO2eq),44561815.89,2009
,Emissions: Sum (tons of CO2eq),138782266.4,2009
,Natural gas (TJ),74200.75387,2010
,Diesel oil (TJ),1305610.877,2010
,Biodiesel (TJ),60912.81428,2010
,Gasoline (TJ),736045.1679,2010
,Anhydrous ethanol (TJ),159170.7086,2010
,Hydrated ethanol (TJ),346211.46,2010
,Energy Consumption: Sum (TJ),2682151.782,2010
,Emissions:Natural Gas (tons of CO2eq),4375024.85,2010
,Emissions: Diesel oil (tons of CO2eq),98431179.09,2010
,Emissions: Gasoline (tons of CO2eq),53219745.87,2010
,Emissions: Sum (tons of CO2eq),156025949.8,2010
,Natural gas (TJ),72885.12,2011
,Diesel oil (TJ),1381952.222,2011
,Biodiesel (TJ),66075.33614,2011
,Gasoline (TJ),875187.747,2011
,Anhydrous ethanol (TJ),189188.5232,2011
,Hydrated ethanol (TJ),261672.9532,2011
,Energy Consumption: Sum (TJ),2846961.902,2011
,Emissions:Natural Gas (tons of CO2eq),4297452.445,2011
,Emissions: Diesel oil (tons of CO2eq),104186621.8,2011
,Emissions: Gasoline (tons of CO2eq),63280450.05,2011
